Node,X,Y,Z,Type,Hemisphere,Region,Super_Region
1,34.07252998,79.33181039,31.27698458,cortical,right,lateralorbitofrontal,frontal
2,25.69463087,83.34731544,33.22315436,cortical,right,parsorbitalis,frontal
3,40.52884615,94.5,35.20833333,cortical,right,frontalpole,frontal
4,41.6103321,82.42583026,31.5402214,cortical,right,medialorbitofrontal,frontal
5,21.92128679,79.27378508,39.41136208,cortical,right,parstriangularis,frontal
6,21.2955626,70.16481775,42.38985737,cortical,right,parsopercularis,frontal
7,29.05049396,83.5528723,46.50128064,cortical,right,rostralmiddlefrontal,frontal
8,39.47277377,75.26022864,55.82039711,cortical,right,superiorfrontal,frontal
9,29.23598001,67.01110494,56.9611327,cortical,right,caudalmiddlefrontal,frontal
10,26.57336132,59.0776767,54.44133427,cortical,right,precentral,frontal
11,41.90993789,49.2826087,60.26475155,cortical,right,paracentral,parietal
12,41.20798319,77.82142857,39.66386555,cortical,right,rostralanteriorcingulate,limbic
13,42.36022514,68.72795497,48.02439024,cortical,right,caudalanteriorcingulate,limbic
14,41.84807492,50.79396462,49.65764828,cortical,right,posteriorcingulate,limbic
15,41.46723044,42.61522199,40.86469345,cortical,right,isthmuscingulate,limbic
16,26.50948592,51.94920441,56.05936353,cortical,right,postcentral,parietal
17,20.65394484,47.42880051,50.4913406,cortical,right,supramarginal,parietal
18,35.7320477,32.16417153,56.47500634,cortical,right,superiorparietal,parietal
19,25.11897761,34.12689437,48.64103144,cortical,right,inferiorparietal,parietal
20,39.88837042,35.03266332,49.91708543,cortical,right,precuneus,parietal
21,41.29815951,26.71656442,41.91411043,cortical,right,cuneus,occipital
22,40.10450161,27.71382637,36.43247588,cortical,right,pericalcarine,occipital
23,31.0952381,22.77359042,35.84721005,cortical,right,lateraloccipital,occipital
24,38.93587444,30.25426009,30.28340807,cortical,right,lingual,occipital
25,28.66172316,40.04272599,26.03425141,cortical,right,fusiform,temporal
26,33.31137725,48.87624751,26.0239521,cortical,right,parahippocampal,limbic
27,33.6826484,61.31506849,18.43835616,cortical,right,entorhinal,limbic
28,31.67787419,72.7537961,20.93383948,cortical,right,temporalpole,temporal
29,21.86968301,48.31752912,23.47277161,cortical,right,inferiortemporal,temporal
30,17.68024985,53.25550268,28.02766211,cortical,right,middletemporal,temporal
31,20.33384146,47.16615854,35.22865854,cortical,right,bankssts,temporal
32,19.57778999,61.84194612,32.07174272,cortical,right,superiortemporal,temporal
33,21.89972145,55.82451253,36.7994429,cortical,right,transversetemporal,temporal
34,28.04171495,63.95538818,35.65701043,cortical,right,insula,basal_ganglia
35,39.72436751,54.16644474,37.72103862,subcortical,right,Right-Thalamus-Proper,basal_ganglia
36,38.86863711,64.77586207,41.66584565,subcortical,right,Right-Caudate,basal_ganglia
37,33.04900459,62.90352221,36.41500766,subcortical,right,Right-Putamen,basal_ganglia
38,36.88760807,61.65706052,35.1037464,subcortical,right,Right-Pallidum,basal_ganglia
39,42.14336918,67.14336918,32.42293907,subcortical,right,Right-Accumbens-area,basal_ganglia
40,32.69407895,52.95394737,28.73848684,subcortical,right,Right-Hippocampus,temporal
41,34.54857143,62.98,26.62714286,subcortical,right,Right-Amygdala,basal_ganglia
42,54.66492395,79.26948669,30.87737643,cortical,left,lateralorbitofrontal,frontal
43,64.71492537,83.45522388,33.39552239,cortical,left,parsorbitalis,frontal
44,47.59139785,94.06989247,39.76344086,cortical,left,frontalpole,frontal
45,47.34386481,82.99191771,32.55033064,cortical,left,medialorbitofrontal,frontal
46,66.17241379,78.95611285,37.80877743,cortical,left,parstriangularis,frontal
47,68.29597315,71.37852349,40.73825503,cortical,left,parsopercularis,frontal
48,60.5041339,82.33716475,46.96148417,cortical,left,rostralmiddlefrontal,frontal
49,49.93668763,74.24891684,56.4962963,cortical,left,superiorfrontal,frontal
50,62.64297521,65.31404959,55.52479339,cortical,left,caudalmiddlefrontal,frontal
51,63.70199587,57.68020188,54.04152329,cortical,left,precentral,frontal
52,48.29128857,46.20235935,59.49183303,cortical,left,paracentral,parietal
53,47.40466392,78.76817558,38.74485597,cortical,left,rostralanteriorcingulate,limbic
54,47.86676017,69.96213184,47.89340813,cortical,left,caudalanteriorcingulate,limbic
55,48,51.39815668,50.6202765,cortical,left,posteriorcingulate,limbic
56,48.25218659,41.6851312,41.1574344,cortical,left,isthmuscingulate,limbic
57,65.27928389,50.41713555,54.88235294,cortical,left,postcentral,parietal
58,69.60832514,44.09898394,49.81284825,cortical,left,supramarginal,parietal
59,54.97836982,30.5333685,53.52914798,cortical,left,superiorparietal,parietal
60,65.56197787,31.4838564,46.47143825,cortical,left,inferiorparietal,parietal
61,50.42891076,34.25008483,50.35595521,cortical,left,precuneus,parietal
62,48.53673724,25.23412204,39.55541719,cortical,left,cuneus,occipital
63,50.30191693,26.67252396,34.89776358,cortical,left,pericalcarine,occipital
64,59.24117647,22.33613445,32.39803922,cortical,left,lateraloccipital,occipital
65,51.14585192,29.34968778,29.26360393,cortical,left,lingual,occipital
66,61.92384562,42.11853894,24.54548587,cortical,left,fusiform,temporal
67,56.26045627,48.80418251,26.02091255,cortical,left,parahippocampal,limbic
68,55.91336634,61.21534653,19.65841584,cortical,left,entorhinal,limbic
69,57.88209607,71.34934498,20.59679767,cortical,left,temporalpole,temporal
70,69.02394842,48.5237949,23.16364753,cortical,left,inferiortemporal,temporal
71,72.44444444,53.68130406,26.48835662,cortical,left,middletemporal,temporal
72,70.72847682,45.42715232,34.5794702,cortical,left,bankssts,temporal
73,70.57514097,59.2277519,32.41358176,cortical,left,superiortemporal,temporal
74,66.16111111,53.69166667,37.30277778,cortical,left,transversetemporal,temporal
75,61.95915916,62.47267267,35.08708709,cortical,left,insula,basal_ganglia
76,51.03064904,53.87439904,37.59795673,subcortical,left,Left-Thalamus-Proper,basal_ganglia
77,51.22564935,64.71428571,41.37175325,subcortical,left,Left-Caudate,basal_ganglia
78,57.16567164,62.63208955,35.63656716,subcortical,left,Left-Putamen,basal_ganglia
79,53.7755611,60.70573566,34.30673317,subcortical,left,Left-Pallidum,basal_ganglia
80,47.42704626,65.96085409,31.90035587,subcortical,left,Left-Accumbens-area,basal_ganglia
81,56.00270027,52.26732673,28.83168317,subcortical,left,Left-Hippocampus,temporal
82,54.91442155,62.89857369,26.07290016,subcortical,left,Left-Amygdala,basal_ganglia
83,44.57597245,50.37965964,19.79801459,subcortical,left,Brain-Stem,brain_stem
